word,frequency
transferred,91
withou,5
lost,63
Master,3
year,43
NNPC,2
Towers,1
Abuj,1
Mine,13
respond,73
mentions,1
na,45
thief,10
dem,21
Having,3
It,157
given,31
After,34
registration,10
mo,12
complained,35
particular,8
fund,66
Unified,2
Payment,6
receiving,39
asap,20
seeing,11
different,24
figures,2
every,92
SMS,153
place,17
nowadays,1
And,84
either,25
mtn,29
sim,14
which,113
affliated,1
Oliver,1
mark,1
Chibuike,1
n,77
oyeyiga,1
oladipupojust,1
Gtbank,26
later,22
gotten,53
per,37
annum,1
reply,71
lodged,17
Yet,7
nothing,58
writing,5
closed,13
services,47
rendered,3
sort,19
hallIt's,1
quite,10
urgent,69
thanks,33
AccessBank,4
glo,10
number,243
bu,11
become,12
useless,61
'Admin,1
fees',1
'WH,1
Credit,5
Interest,2
',5
removing,7
s,32
Can't,19
remember,21
more,121
'cost,1
Debit,14
Card'Just,1
noticed,15
morningIs,1
must,41
visit,18
before,83
shortest,1
possible,28
resolve,51
Visa,10
transacti,2
assistance,7
worse,25
Not,36
Message,2
Damn,4
doing,43
You,150
were,45
busy,10
debiting,27
w,47
Used,1
Asokoro,3
cash,107
wasnt,14
dispensed,11
Noticed,1
'Card,1
Cost',1
then,66
correspon,1
Window,21
Rug,19
Brain,20
Lamp,23
big,19
Can,73
problem,97
daily,14
limit,31
promised,14
embarras,1
fully,2
liquidated,1
naira,174
Any,18
regards,9
unlocking,1
already,74
indicated,1
while,85
filling,9
campbut,1
rate,17
US,9
suspended,3
Im,56
brother,5
Come,4
people,183
moving,9
mad,20
lately,6
Now,19
alert,256
Bug,1
balance,58
whenever,17
dail,1
Mobile,82
App,91
accout,3
opening,45
seems,17
gonna,8
isn't,34
paid,79
off,24
severally,16
initiated,15
retrieve,12
charging,51
interest,2
savings,50
heard,18
stingy,2
contemplating,1
Got,15
Refund,6
NOW,4
Everybody,2
broke,12
stop,100
testing,3
peoples,7
patience,4
poor,56
debitting,1
them,151
paying,29
norm,1
blame,8
banki,2
you're,23
struggling,3
award,2
incomplete,4
giving,27
SPS,1
Error,10
really,118
try,56
create,3
security,18
reaching,1
step,4
comfirm,1
ages,9
transfers,56
transfered,21
Saturday,29
see,90
thousand,19
zenith,34
third,18
When,41
Been,18
l,16
platform,41
down,34
There,20
reversal,78
short,23
whi,5
right,39
front,7
Makurdi,1
although,2
Imagine,11
wait,34
business,50
avnt,3
anything,47
such,18
second,32
hello,95
dm,39
URGENT,4
un,4
