text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,location,language,profileImageURL
"RT @DiamondBankHelp: @oloruntobiallen Hi Tobi, Credit interest disqualification on a savings account is if there are more than 4 withdrawal…",FALSE,0,NA,9/11/2018 11:58,FALSE,NA,1.03948E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",oloruntobiallen,1,TRUE,FALSE,NA,NA,Lagos,en,http://pbs.twimg.com/profile_images/979421273133584385/0TeIt3Rr_normal.jpg
"@DiamondBankHelp this is not all about me. While reading through a news on the comment section, someone also talked… https://t.co/u2Aunr6Qy5",FALSE,0,DiamondBankHelp,9/11/2018 11:36,TRUE,NA,1.03948E+18,7.83224E+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",progress_jude,0,FALSE,FALSE,NA,NA,_Nigeria,en,http://pbs.twimg.com/profile_images/982555674533138432/GJ-nydIq_normal.jpg
"@DiamondBankHelp I can't make transaction since today using ur ussd codes what's happening? 
Everytime I try it tel… https://t.co/8IMZluQ7np",FALSE,0,DiamondBankHelp,9/11/2018 11:19,TRUE,NA,1.03947E+18,7.83224E+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",D_Big_Gee,0,FALSE,FALSE,NA,NA,kings avenue.     legends city,en,http://pbs.twimg.com/profile_images/939780716820385797/UN8GBDag_normal.jpg
@DiamondBankHelp Hello guys. Please what is the maximum number of withdrawals one can make on a savings account to… https://t.co/02TE41mI6i,FALSE,0,DiamondBankHelp,9/11/2018 11:01,TRUE,NA,1.03947E+18,7.83224E+17,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",oloruntobiallen,0,FALSE,FALSE,NA,NA,Lagos,en,http://pbs.twimg.com/profile_images/979421273133584385/0TeIt3Rr_normal.jpg
@DiamondBankHelp I do not have a diamond online and token stuff. What do I do?,FALSE,0,DiamondBankHelp,9/11/2018 10:24,FALSE,1.03944E+18,1.03946E+18,7.83224E+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",donnayna,0,FALSE,FALSE,NA,NA,"Federal Capital Territory, Nig",en,http://pbs.twimg.com/profile_images/1031660293586407424/-Slg0uf3_normal.jpg
@DiamondBankHelp Your Dm is inaccessible. Please open it so that I can send the details.,FALSE,0,DiamondBankHelp,9/11/2018 10:10,FALSE,1.03944E+18,1.03946E+18,7.83224E+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",iMannie_,0,FALSE,FALSE,NA,NA,<U+260E><U+260E>,en,http://pbs.twimg.com/profile_images/935265367575945217/WR4mq5sf_normal.jpg
"@DiamondBankHelp Pls help me, I couldn't see option for DM on your timeline. Send me DM,  tru that let me respond. 
Celestine.",FALSE,0,DiamondBankHelp,9/11/2018 10:01,FALSE,1.03944E+18,1.03945E+18,7.83224E+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",buzo4reel,0,FALSE,FALSE,NA,NA,"Abuja, Nigeria",en,http://pbs.twimg.com/profile_images/1035583652720197632/Dpta_bvE_normal.jpg
@DiamondBankHelp Ok,FALSE,0,DiamondBankHelp,9/11/2018 9:53,FALSE,1.03944E+18,1.03945E+18,7.83224E+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",buzo4reel,0,FALSE,FALSE,NA,NA,"Abuja, Nigeria",en,http://pbs.twimg.com/profile_images/1035583652720197632/Dpta_bvE_normal.jpg
"@DiamondBankHelp thankyou for your prompt response, i appreciate.",FALSE,0,DiamondBankHelp,9/11/2018 9:35,FALSE,1.03945E+18,1.03945E+18,7.83224E+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",chilakaikenna25,0,FALSE,FALSE,NA,NA,"Owerri, Nigeria",en,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
@DiamondBankHelp It was a transfer and attached is the alert 0036599522 is the receiving account number. Thank you https://t.co/6H4AKvWgZs,FALSE,0,DiamondBankHelp,9/11/2018 9:27,FALSE,1.03944E+18,1.03945E+18,7.83224E+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AduraGiftStores,0,FALSE,FALSE,NA,NA,"Lagos, Nigeria",fr,http://pbs.twimg.com/profile_images/974024150904967168/5QkOU5p1_normal.jpg
@DiamondBankHelp means business ooo!.....wow this is quite impressive <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BD><ed><U+00B9><U+008C> https://t.co/KB5S5hE1uv,FALSE,0,DiamondBankHelp,9/11/2018 9:22,FALSE,NA,1.03944E+18,7.83224E+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",7letters3,0,FALSE,FALSE,NA,NA,"Lagos, Nigeria",en,http://pbs.twimg.com/profile_images/1039365557844357126/NjWOCZkn_normal.jpg
